post_id,post_title,post_author,post_content,post_category,post_tags,post_type,post_status,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,Image,teachers
,Pura Vida Yoga,1,We offer Iyengar Yoga private Pilates Reiki and Wholistic Fitness Training with quality instruction in a caring environment.,,,gd_yoga_studio,publish,6299 N. Federal Hwy,Boca Raton,FL,United States,33487,26.4056,-80.0762,http://www.yogatrail.com/sites/default/files/styles/profiles/public/avatars/studios_4.jpg?itok=FVFzb9lK,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/julie-murphy-110521""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/110521/julie-murphy_0.jpg?itok=_Y50Ciey"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/julie-murphy-110521"">Julie Murphy</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 4.8</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>5</strong> <a href=""/teacher/julie-murphy-110521/reviews"">Reviews</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/susie-huard-114683""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/susie-huard-114683"">Susie Huard</a></strong> </div> </li></ul>"
,Lakulish Yoga,1,I am a student of yoga and I am devoted wholeheartedly to this sublime quest.,Kripalu,,gd_yoga_studio,publish,2824 Par Lane,Tallahassee,FL,United States,32301,30.4142650325193,-84.2478214196,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/74141/lakulish-yoga.jpg?itok=xJgtzVyv,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/joanna-valentine-106847""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/joanna-valentine-106847"">JoAnna Valentine</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/shyam-month-658776""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_1.jpg?itok=DJUCQPPQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/shyam-month-658776"">Shyam Month</a></strong> </div> </li></ul>"
,The Yoga Pagoda,1,Born out of the notion that there is room for it all The Yoga Pagoda is dedicated to serving the ever growing and dynamic community of Vero Beach. We offer a full class schedule workshops privates weekend immersions teacher trainings and special events. Our staff is highly skilled over a cross section of styles has a passion for life and genuinely enjoys interacting with student of all levels and abilities. The Yoga Pagoda is the place to experience Yoga Qigong Melt and Nia in a welcoming environment with teachers who are dedicated to setting you up for success in creative and fun filled classes. Come in and enjoy a beverage in our lounge take a mid day break and meditate schedule a treatment with one of our highly skilled therapists & body-workers or just hang around and make new friends.,"Aerial, Ashtanga, Children's, Corporate, Flow, Hot, Kundalini, Laughter Yoga Meditation, Paddleboard Yoga, Restorative, Tantra Yoga, Thai, Yoga Massage, Vinyasa, Yin,Yoga Therapy",,gd_yoga_studio,publish,2101 Indian River Blvd,Vero Beach,FL,United States,32960,27.64,-80.3804,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/75892/the-yoga-pagoda-1437744986.jpg?itok=JCaDEkhU,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/parthena-rodriguez-110424""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/110424/parthena-rodriguez_0.jpg?itok=gM_NIBjP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/parthena-rodriguez-110424"">Parthena Rodriguez</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/linda-graham-988084""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/988084/linda-graham-1426775771.jpg?itok=IUbZ-owG"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/linda-graham-988084"">Linda Graham</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/shelley-adelle-2018479""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/shelley-adelle-2018479"">Shelley Adelle</a></strong> </div> </li></ul>"
,Radiant Wellness Yoga Therapy,1,Offering private yoga therapy lessons 200 Hour Yoga Therapy Teacher Training Group Yoga Therapy Lessons Reiki Treatments and training Hypnosis,"Gentle, Hatha, Restorative, Senior, Special Needs, Women's",,gd_yoga_studio,publish,Overlook Building 1102 A1A North Suite 102,Ponte Vedra Beach,FL,United States,32082,30.3675,-81.4112,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/134083/radiant-wellness-yoga-therapy.jpg?itok=mGF-2YvH,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/joan-ryan-93759""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/93759/joan-ryan_0.jpg?itok=LDLmVFay"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/joan-ryan-93759"">Joan Ryan</a></strong> </div> </li></ul>"
,Bikram Yoga on the Island,1,"Bikram's Therapeutic Hot, Yoga is not just an exercise. It is a powerful healing system scientifically designed to restore and maintain your health and well being. In order to be effective yoga must be practiced daily on a regular basis with no long lapses of time between lessons. A minimum commitment of 10 lessons in 30 days is required to derive maximum benefit from this yoga program.","Bikram Children's, Hot",,gd_yoga_studio,publish,87 East Merritt Avenue,Merritt Island,FL,United States,32953,28.3612,-80.6982,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/72359/bikram-yoga-on-the-island.jpg?itok=XMhK2pEf,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/anna-hunter-95537""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/95537/anna-hunter.jpg?itok=a7jRQGjm"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/anna-hunter-95537"">Anna Hunter</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>5</strong> <a href=""/teacher/anna-hunter-95537/reviews"">Reviews</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/claudia-cox-404086""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/404086/claudia-cox-1422123073.jpg?itok=m8CMv5SF"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/claudia-cox-404086"">Claudia Cox</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/suzanne-smith-elliott-117841""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/suzanne-smith-elliott-117841"">Suzanne Smith Elliott</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/jennifer-hodge-404128""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/jennifer-hodge-404128"">Jennifer Hodge</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/janna-leblanc-404136""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_1.jpg?itok=DJUCQPPQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/janna-leblanc-404136"">Janna LeBlanc</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/sharon-lacy-397310""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/sharon-lacy-397310"">Sharon Lacy</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/william-joseph-joe-elliott-397312""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/william-joseph-joe-elliott-397312"">William Joseph &quot;JOE&quot; Elliott</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/katherine-roo-kalm-404042""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/katherine-roo-kalm-404042"">Katherine &quot;ROO&quot; Kalm</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/chelcia-lawrimore-404102""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/chelcia-lawrimore-404102"">Chelcia Lawrimore</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/gwen-noack-404124""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/gwen-noack-404124"">Gwen Noack</a></strong> </div> </li></ul>"
,Corpo Yoga Studio,1,"CORPO Yoga Studio is a Family, yoga studio where people of all ages shapes and faiths feel comfortable being who they truly are.","Anusara, Ashtanga, Children's, Core Strength, Flow, Gentle, Hatha, Kundalini, Meditation, Power, Restorative, Vinyasa",,gd_yoga_studio,publish,9030 SW 72nd Court,Miami,FL,United States,33156,25.6846857142857,-80.3124551020408,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/106066/corpo-yoga-studio.jpg?itok=fMm-Yn5S,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/martha-barantovich-77377""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/77377/martha-barantovich.jpg?itok=B5A66SOm"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/martha-barantovich-77377"">Martha Barantovich</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>1</strong> <a href=""/teacher/martha-barantovich-77377/reviews"">Review</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/natasha-buxo-101975""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/Member/120648/natasha-buxo.jpg?itok=nyTPPM9Y"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/natasha-buxo-101975"">Natasha Buxo</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>1</strong> <a href=""/teacher/natasha-buxo-101975/reviews"">Review</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/pablo-lucero-221835""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/221835/pablo-lucero.jpg?itok=TBC4eu0i"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/pablo-lucero-221835"">Pablo Lucero</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>1</strong> <a href=""/teacher/pablo-lucero-221835/reviews"">Review</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/andrea-de-la-madriz-1275822""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/1275822/andrea-de-la-madriz-1428699425.jpg?itok=g1Lp_tO0"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/andrea-de-la-madriz-1275822"">Andrea de la Madriz</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/kelly-brandon-101962""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/kelly-brandon-101962"">Kelly Brandon</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/beatriz-niebla-101964""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/beatriz-niebla-101964"">Beatriz Niebla</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/peter-barber-101967""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/peter-barber-101967"">Peter Barber</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/marlene-dankworth-101978""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_1.jpg?itok=DJUCQPPQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/marlene-dankworth-101978"">Marlene Dankworth</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/christina-algeciras-101979""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/christina-algeciras-101979"">Christina Algeciras</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/joan-varini-101963""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/joan-varini-101963"">Joan Varini</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/gina-murray-101965""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/gina-murray-101965"">Gina Murray</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/brittany-panter-101966""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/brittany-panter-101966"">Brittany Panter</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/carol-garabedian-101972""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/carol-garabedian-101972"">Carol Garabedian</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/kathleen-kowall-101973""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/kathleen-kowall-101973"">Kathleen Kowall</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/jillian-simon-101974""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/jillian-simon-101974"">Jillian Simon</a></strong> </div> </li></ul>"
,Surya Namaskar School of Yoga,1,At Surya Namaskar School of Yoga you will learn so much more that just how to be a yoga teacher. You will be able to enter the world of yoga and the world beyond to serve and bless the universe.,"Family, Gentle, Hatha, Meditation, Sivananda, Vinyasa",,gd_yoga_studio,publish,4105 5th Ave North,Saint Petersburg,FL,United States,33713,27.7775,-82.6889571428571,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/74091/surya-namaskar-school-of-yoga-1422319546.jpg?itok=ReruLk3a,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/denise-halfast-931586""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/931586/denise-halfast-1424639961.jpg?itok=bDTqvy00"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/denise-halfast-931586"">Denise Halfast</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/curtis-williams-931619""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/931619/curtis-williams-1429561094.jpg?itok=cdmE4JAH"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/curtis-williams-931619"">Curtis Williams</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/jeffrey-navarre-83868""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/jeffrey-navarre-83868"">Jeffrey Navarre</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/noel-ibraham-932221""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/noel-ibraham-932221"">Noel Ibraham</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/lisa-perry-932273""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/lisa-perry-932273"">Lisa Perry</a></strong> </div> </li></ul>"
,Aum Yoga Naples,1,"We are thrilled to offer yoga for your entire family. We feel that when yoga is thread through the Family, dynamic everyone prospers! Join us for classes from womb to adult-- including Prenatal, Yoga Baby Yoga Family, Bikram Yoga & Adult Hatha, Yoga! We look forward to sharing our love of yoga with you and your family! Namaste <3","Alignment, Children's, Family, Gentle, Hatha, Iyengar Meditation, Mom & Baby, Prenatal, Restorative, Women's",,gd_yoga_studio,publish,2960 Immokalee Rd Suite 3,Naples,FL,United States,34110,26.2723,-81.7895,http://www.yogatrail.com/sites/default/files/styles/profiles/public/avatars/studios_1.jpg?itok=jDJmtEjP,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/simona-alladio-148957""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/Member/148973/simona-alladio.jpg?itok=4cxj0fLs"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/simona-alladio-148957"">Simona Alladio</a></strong> </div> </li></ul>"
,Vastu School Of Yoga Florida,1,Classical Traditional Authentic Yoga. Vastu offers yoga classes Yoga Immersions Retreats and Yoga Teacher Training in Florida and Mexico. Visit Trip Adviser and see what others are saying about Vastu!,"Sivananda, Yoga Therapy",,gd_yoga_studio,publish,260 Holloway Drive,Plantation,FL,United States,33317,26.1283265898453,-80.2380468203093,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/139642/vastu-school-of-yoga-1422332718.jpg?itok=b4a1IWpz,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/lal-maharajh-98756""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/98756/lal-maharajh-1422993489.jpg?itok=ZmRmIjey"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/lal-maharajh-98756"">Lal Maharajh</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>1</strong> <a href=""/teacher/lal-maharajh-98756/reviews"">Review</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/lorrie-conglose-791612""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/791612/lorrie-conglose-1422332279.jpg?itok=WFhupT3Z"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/lorrie-conglose-791612"">Lorrie Conglose</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>1</strong> <a href=""/teacher/lorrie-conglose-791612/reviews"">Review</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/monica-gonzalez-791641""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/monica-gonzalez-791641"">Monica Gonzalez</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/lesline-russell-791643""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/lesline-russell-791643"">Lesline Russell</a></strong> </div> </li></ul>"
,Palm Beach Waterfront Fitness Club,1,Palm Beach Waterfront Fitness Club is a high-end facility featuring state-of-the-art equipment spa like amenities and unparalleled service. We are more than just a health club. We offer comprehensive personal training and guidance to meet your fitness goals. We are a private fitness club with a limited membership base.,,,gd_yoga_studio,publish,515 N Flagler Drive,West Palm Beach,FL,United States,33407,26.726,-80.0503,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/1307869/palm-beach-waterfront-fitness-club-1429032955.jpg?itok=apLgq0UP,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/sara-beth-force-149132""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/149132/sara-beth-force.jpg?itok=oketUlQP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/sara-beth-force-149132"">Sara Beth Force</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>1</strong> <a href=""/teacher/sara-beth-force-149132/reviews"">Review</a></p> </div> </li></ul>"
,Merritt Island Yoga Studio,1,YogaFit Trained Registered Teacher - Path to Yoga Therapist. Certified Personal Trainer AFAA Certified Group Instructor AFAAACE Pilates Instructor SCW Certified SilverSneakers Instructor Healthways Certified First Aid/CPR/AED Red Cross Insured K&K,"Core Strength, Flow, Gentle, Hatha, Power, Restorative, Senior, Viniyoga, Vinyasa, WoMen's, Yin",,gd_yoga_studio,publish,729 N Courtenay Pkwy,Merritt Island,FL,United States,32953,28.3695547297297,-80.7003,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/184762/merritt-island-yoga-studio.jpg?itok=0eY2MSzi,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/terri-kim-bowyer-184761""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/184761/terri-kim-bowyer.jpg?itok=4bKSDGKC"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/terri-kim-bowyer-184761"">Terri Kim Bowyer</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/maddie-mcdonald-184779""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/184779/maddie-mcdonald.jpg?itok=lIWSvMBw"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/maddie-mcdonald-184779"">Maddie McDonald</a></strong> </div> </li></ul>"
